name	HPO.term	HPO.label	HPO.level	gene	disease.name	literature_model	ddd_model	OV	OVG
1129	HP:0000113	Polycystic kidney dysplasia	8	SRCAP;CREBBP	FLOATING-HARBOR SYNDROME;RUBINSTEIN-TAYBI SYNDROME TYPE 1	LIT:56x;LIT:11x		LIT	LIT:56x;LIT:11x
1130	HP:0000124	Renal tubular dysfunction	7						
1131	HP:0000114	Proximal tubulopathy	8						
1132	HP:0012599	Abnormal urine phosphate concentration	7						
1133	HP:0000117	Renal phosphate wasting	8						
1134	HP:0000118	Phenotypic abnormality	1	LZTR1;TCF20;STXBP1;POGZ;DYRK1A;DDX3X	NOONAN SYNDROME 10;TCF20 syndrome;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4;INTELLECTUAL DISABILITY;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7;MENTAL RETARDATION, X-LINKED 102	LIT:67x;LIT:61x;LIT:57x;LIT:43x;LIT:18x;LIT:15x;LIT:13x		LIT	LIT:67x;LIT:61x;LIT:57x;LIT:43x;LIT:18x;LIT:15x;LIT:13x
1135	HP:0000121	Nephrocalcinosis	7	GATA3;SRCAP;SCN2A;KDM5B	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;FLOATING-HARBOR SYNDROME;INFANTILE EPILEPTIC ENCEPHALOPATHY;AUTISM;Autism	LIT:76x;LIT:56x;LIT:50x	DDD:35x;DDD:34x	LIT;DDD	LIT:76x;LIT:56x;LIT:50x;DDD:35x;DDD:34x
1136	HP:0000122	Unilateral renal agenesis	9	GATA3;EFTUD2;DYRK1A;DDX3X	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7;INTELLECTUAL DISABILITY	LIT:76x;LIT:19x;LIT:18x;LIT:14x		LIT	LIT:76x;LIT:19x;LIT:18x;LIT:14x
1137	HP:0000125	Pelvic kidney	9	GATA3;GNB2;KMT2A;KIF1A	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;GNB2-related developmental disorder (monoallelic);WIEDEMANN-STEINER SYNDROME;NESCAV SYNDROME	LIT:76x;LIT:36x	DDD:71x;DDD:37x	LIT;DDD	LIT:76x;LIT:36x;DDD:71x;DDD:37x
1138	HP:0010946	Dilatation of the renal pelvis	8	TBL1XR1;KMT2A;KAT6B;CHD7;ARID1B	Pierpont syndrome;Intellectual disability with autism spectrum disorder;WIEDEMANN-STEINER SYNDROME;SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME;CHARGE SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 12		DDD:60x;DDD:59x;DDD:37x;DDD:31x;DDD:30x;DDD:10x;DDD:3x	DDD	DDD:60x;DDD:59x;DDD:37x;DDD:31x;DDD:30x;DDD:10x;DDD:3x
1139	HP:0000126	Hydronephrosis	9	GATA3;WDR37;SRCAP;SMC1A;SATB2;PURA;POGZ;KMT2D;KMT2A;KAT6B;KAT6A;HUWE1;DYRK1A	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;SYNDROMIC INTELLECTUAL DISABILITY;FLOATING-HARBOR SYNDROME;CORNELIA DE LANGE SYNDROME TYPE 2;GLASS SYNDROME;INTELLECTUAL DISABILITY;KABUKI SYNDROME;WIEDEMANN-STEINER SYNDROME;SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 32;MENTAL RETARDATION SYNDROMIC X-LINKED TURNER TYPE;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7	LIT:76x;LIT:68x;LIT:56x;LIT:54x;LIT:48x;LIT:47x;LIT:43x;LIT:38x;LIT:31x;LIT:30x;LIT:29x	DDD:37x;DDD:31x;DDD:30x;DDD:29x;DDD:27x;DDD:18x	LIT;DDD	LIT:76x;LIT:68x;LIT:56x;LIT:54x;LIT:48x;LIT:47x;LIT:43x;LIT:38x;LIT:31x;LIT:30x;LIT:29x;DDD:37x;DDD:31x;DDD:30x;DDD:29x;DDD:27x;DDD:18x
1140	HP:0012591	Abnormal urinary electrolyte concentration	6						
1141	HP:0000127	Renal salt wasting	7						
1142	HP:0012598	Abnormal urine potassium concentration	7						
1143	HP:0000128	Renal potassium wasting	8						
1144	HP:0000130	Abnormality of the uterus	7						
1145	HP:0010784	Uterine neoplasm	9	SETD5	MENTAL RETARDATION, AUTOSOMAL DOMINANT 23	LIT:52x		LIT	LIT:52x
1146	HP:0000131	Uterine leiomyoma	10	KAT6B	SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME	LIT:31x		LIT	LIT:31x
1147	HP:0000133	Gonadal dysgenesis	6						
1148	HP:0000134	Female hypogonadism	9						
1149	HP:0031066	Abnormal ovarian physiology	8						
1150	HP:0000136	Bifid uterus	9						
1151	HP:0000137	Abnormality of the ovary	7						
1152	HP:0000138	Ovarian cyst	9	GATA3;USP9X;DDX3X	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;MENTAL RETARDATION, X-LINKED 99; MRX99;MENTAL RETARDATION, X-LINKED 102;INTELLECTUAL DISABILITY	LIT:76x	DDD:73x;DDD:15x;DDD:14x;DDD:13x	LIT;DDD	LIT:76x;DDD:73x;DDD:15x;DDD:14x;DDD:13x
1153	HP:0100823	Genital hernia	5						
1154	HP:0000139	Uterine prolapse	9						
1155	HP:0030012	Abnormal female reproductive system physiology	5						
1156	HP:0000140	Abnormality of the menstrual cycle	6						
1157	HP:0000141	Amenorrhea	7	ADNP	MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	LIT:0x		LIT	LIT:0x
1158	HP:0004320	Vaginal fistula	8						
1159	HP:0000143	Rectovaginal fistula	9						
1160	HP:0100590	Rectal fistula	8						
1161	HP:0000144	Decreased fertility	5						
1162	HP:0001153	Septate vagina	8	GATA3	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE	LIT:76x		LIT	LIT:76x
1163	HP:0000145	Transverse vaginal septum	9						
1164	HP:0000147	Polycystic ovaries	10	GATA3;KMT2A;HDAC8;DDX3X	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;WIEDEMANN-STEINER SYNDROME;Cornelia de Lange Syndrome HDAC8 X-linked dominant;CORNELIA DE LANGE-LIKE SYNDROME HDAC8 XLR;MENTAL RETARDATION, X-LINKED 102;INTELLECTUAL DISABILITY	LIT:76x;LIT:26x;LIT:25x	DDD:37x;DDD:15x;DDD:14x;DDD:13x	LIT;DDD	LIT:76x;LIT:26x;LIT:25x;DDD:37x;DDD:15x;DDD:14x;DDD:13x
1165	HP:0000148	Vaginal atresia	8	GATA3	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE	LIT:76x		LIT	LIT:76x
1166	HP:0001827	Genital tract atresia	5						
1167	HP:0000149	Ovarian gonadoblastoma	9						
1168	HP:0000151	Aplasia of the uterus	9						
1169	HP:0000152	Abnormality of head or neck	2						
1170	HP:0000271	Abnormality of the face	4	GATA3;CAMK2G;ZC4H2;USP9X;ATP6V1A;USP7;WDR37;LZTR1;WDR45;TRIP12;TRIO;TCF4;TCF20;TBL1XR1;SYNGAP1;STXBP1;SRCAP;SMC1A;SETD5;SCN2A;SATB2;PURA;PTPN11;POGZ;MED13L;KMT2D;KMT2A;KDM5B;KAT6B;KAT6A;HUWE1;HDAC8;GRIN2B;FOXP1;EP300;EHMT1;EFTUD2;DYRK1A;DDX3X;CTNNB1;CREBBP;CDK13;AUTS2;ATRX;ASXL3;ANKRD11;AHDC1;ADNP	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;INTELLECTUAL DEVELOPMENTAL DISORDER 59;ARTHROGRYPOSIS MULTIPLEX CONGENITA AND INTELLECTUAL DISABILITY;MENTAL RETARDATION, X-LINKED 99; MRX99;EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 3;USP7-related developmental disorder (monoallelic);SYNDROMIC INTELLECTUAL DISABILITY;NOONAN SYNDROME 10;NEURODEGENERATION WITH BRAIN IRON ACCUMULATION;TRIP12-related intellectual disability with/without autism spectrum disorder;INTELLECTUAL DISABILITY;PITT-HOPKINS SYNDROME;TCF20 syndrome;Intellectual disability with autism spectrum disorder;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 5;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4;FLOATING-HARBOR SYNDROME;EPILEPTIC ENCEPHALOPATHY;CORNELIA DE LANGE SYNDROME TYPE 2;MENTAL RETARDATION, AUTOSOMAL DOMINANT 23;BENIGN FAMILIAL NEONATAL INFANTILE SEIZURES;INFANTILE EPILEPTIC ENCEPHALOPATHY;NONSPECIFIC SEVERE ID;GLASS SYNDROME;NOONAN SYNDROME 1;LEOPARD SYNDROME TYPE 1;KMT2D multiple malformations disorder;KABUKI SYNDROME;WIEDEMANN-STEINER SYNDROME;Autism;SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 32;MENTAL RETARDATION SYNDROMIC X-LINKED TURNER TYPE;Cornelia de Lange Syndrome HDAC8 X-linked dominant;CORNELIA DE LANGE-LIKE SYNDROME HDAC8 XLR;MENTAL RETARDATION, AUTOSOMAL DOMINANT 6;MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES;RUBINSTEIN-TAYBI SYNDROME TYPE 2;Kleefstra syndrome;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7;MENTAL RETARDATION, X-LINKED 102;MENTAL RETARDATION, AUTOSOMAL DOMINANT 19;RUBINSTEIN-TAYBI SYNDROME TYPE 1;Syndromic INTELLECTUAL DISABILITY with or without congenital heart disease;MENTAL RETARDATION SYNDROMIC X-LINKED WITH HYPOTONIC FACIES SYNDROME TYPE 1;ALPHA-THALASSEMIA MENTAL RETARDATION SYNDROME X-LINKED NON-DELETION TYPE;BAINBRIDGE-ROPERS SYNDROME;KBG SYNDROME;XIA-GIBBS SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	LIT:76x;LIT:75x;LIT:74x;LIT:73x;LIT:70x;LIT:69x;LIT:68x;LIT:67x;LIT:65x;LIT:64x;LIT:63x;LIT:62x;LIT:61x;LIT:59x;LIT:58x;LIT:57x;LIT:56x;LIT:55x;LIT:54x;LIT:52x;LIT:50x;LIT:48x;LIT:47x;LIT:46x;LIT:45x;LIT:43x;LIT:42x;LIT:39x;LIT:38x;LIT:37x;LIT:34x;LIT:31x;LIT:30x;LIT:29x;LIT:27x;LIT:26x;LIT:25x;LIT:23x;LIT:22x;LIT:21x;LIT:20x;LIT:19x;LIT:18x;LIT:15x;LIT:13x;LIT:12x;LIT:11x;LIT:9x;LIT:7x;LIT:6x;LIT:5x;LIT:4x;LIT:2x;LIT:1x;LIT:0x	DDD:51x;DDD:50x;DDD:49x;DDD:37x;DDD:31x;DDD:30x;DDD:22x;DDD:4x	LIT;DDD	LIT:76x;LIT:75x;LIT:74x;LIT:73x;LIT:70x;LIT:69x;LIT:68x;LIT:67x;LIT:65x;LIT:64x;LIT:63x;LIT:62x;LIT:61x;LIT:59x;LIT:58x;LIT:57x;LIT:56x;LIT:55x;LIT:54x;LIT:52x;LIT:50x;LIT:48x;LIT:47x;LIT:46x;LIT:45x;LIT:43x;LIT:42x;LIT:39x;LIT:38x;LIT:37x;LIT:34x;LIT:31x;LIT:30x;LIT:29x;LIT:27x;LIT:26x;LIT:25x;LIT:23x;LIT:22x;LIT:21x;LIT:20x;LIT:19x;LIT:18x;LIT:15x;LIT:13x;LIT:12x;LIT:11x;LIT:9x;LIT:7x;LIT:6x;LIT:5x;LIT:4x;LIT:2x;LIT:1x;LIT:0x;DDD:51x;DDD:50x;DDD:49x;DDD:37x;DDD:31x;DDD:30x;DDD:22x;DDD:4x
1171	HP:0000153	Abnormality of the mouth	5	USP9X;TCF20;SATB2;MED13L;KAT6A;CREBBP;ARID1B	MENTAL RETARDATION, X-LINKED 99; MRX99;TCF20 syndrome;GLASS SYNDROME;INTELLECTUAL DISABILITY;MENTAL RETARDATION, AUTOSOMAL DOMINANT 32;RUBINSTEIN-TAYBI SYNDROME TYPE 1;MENTAL RETARDATION, AUTOSOMAL DOMINANT 12	LIT:61x;LIT:29x	DDD:73x;DDD:48x;DDD:42x;DDD:11x;DDD:3x	LIT;DDD	LIT:61x;LIT:29x;DDD:73x;DDD:48x;DDD:42x;DDD:11x;DDD:3x
1172	HP:0011337	Abnormality of mouth size	8	KAT6B	SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME		DDD:31x;DDD:30x	DDD	DDD:31x;DDD:30x
1173	HP:0000154	Wide mouth	9	ZC4H2;TRIP12;TCF4;TCF20;TBL1XR1;SYNGAP1;SRCAP;SETD5;SCN2A;POGZ;MED13L;MECP2;KMT2D;KMT2A;KIF1A;KDM5B;KCNQ2;KAT6B;HUWE1;HDAC8;FOXP1;EHMT1;EFTUD2;DYRK1A;CTNNB1;CACNA1A;AUTS2;ARID1B;ANKRD11;AHDC1;ADNP	ARTHROGRYPOSIS MULTIPLEX CONGENITA AND INTELLECTUAL DISABILITY;TRIP12-related intellectual disability with/without autism spectrum disorder;PITT-HOPKINS SYNDROME;TCF20 syndrome;Intellectual disability with autism spectrum disorder;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 5;FLOATING-HARBOR SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 23;BENIGN FAMILIAL NEONATAL INFANTILE SEIZURES;INFANTILE EPILEPTIC ENCEPHALOPATHY;NONSPECIFIC SEVERE ID;INTELLECTUAL DISABILITY;MENTAL RETARDATION SYNDROMIC X-LINKED TYPE 13;RETT SYNDROME (RTT)[;KMT2D multiple malformations disorder;KABUKI SYNDROME;WIEDEMANN-STEINER SYNDROME;NESCAV SYNDROME;Autism;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 7;BENIGN NEONATAL EPILEPSY TYPE 1;SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME;MENTAL RETARDATION SYNDROMIC X-LINKED TURNER TYPE;Cornelia de Lange Syndrome HDAC8 X-linked dominant;CORNELIA DE LANGE-LIKE SYNDROME HDAC8 XLR;MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES;Kleefstra syndrome;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7;MENTAL RETARDATION, AUTOSOMAL DOMINANT 19;EPILEPTIC ENCEPHALOPATHY;SYNDROMIC INTELLECTUAL DISABILITY;MENTAL RETARDATION, AUTOSOMAL DOMINANT 12;KBG SYNDROME;XIA-GIBBS SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	LIT:64x;LIT:62x;LIT:61x;LIT:59x;LIT:58x;LIT:56x;LIT:43x;LIT:42x;LIT:34x;LIT:31x;LIT:30x;LIT:22x;LIT:20x;LIT:19x;LIT:7x;LIT:2x;LIT:1x;LIT:0x	DDD:74x;DDD:64x;DDD:62x;DDD:52x;DDD:51x;DDD:50x;DDD:49x;DDD:42x;DDD:41x;DDD:40x;DDD:39x;DDD:38x;DDD:37x;DDD:36x;DDD:33x;DDD:32x;DDD:27x;DDD:26x;DDD:25x;DDD:22x;DDD:20x;DDD:18x;DDD:12x;DDD:8x;DDD:3x;DDD:2x	LIT;DDD	LIT:64x;LIT:62x;LIT:61x;LIT:59x;LIT:58x;LIT:56x;LIT:43x;LIT:42x;LIT:34x;LIT:31x;LIT:30x;LIT:22x;LIT:20x;LIT:19x;LIT:7x;LIT:2x;LIT:1x;LIT:0x;DDD:74x;DDD:64x;DDD:62x;DDD:52x;DDD:51x;DDD:50x;DDD:49x;DDD:42x;DDD:41x;DDD:40x;DDD:39x;DDD:38x;DDD:37x;DDD:36x;DDD:33x;DDD:32x;DDD:27x;DDD:26x;DDD:25x;DDD:22x;DDD:20x;DDD:18x;DDD:12x;DDD:8x;DDD:3x;DDD:2x
1174	HP:0000155	Oral ulcer	9	DNM1L	DNM1L-related developmental disorder (monoallelic)	LIT:66x		LIT	LIT:66x
1175	HP:0000163	Abnormal oral cavity morphology	7						
1176	HP:0003712	Skeletal muscle hypertrophy	6						
1177	HP:0000158	Macroglossia	10	SYNGAP1;SMC1A;SETD5;SATB2;MED13L;KMT2A;EHMT1;ANKRD11	MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 5;CORNELIA DE LANGE SYNDROME TYPE 2;MENTAL RETARDATION, AUTOSOMAL DOMINANT 23;GLASS SYNDROME;INTELLECTUAL DISABILITY;WIEDEMANN-STEINER SYNDROME;Kleefstra syndrome;KBG SYNDROME	LIT:54x;LIT:48x;LIT:20x	DDD:58x;DDD:52x;DDD:42x;DDD:37x;DDD:2x	LIT;DDD	LIT:54x;LIT:48x;LIT:20x;DDD:58x;DDD:52x;DDD:42x;DDD:37x;DDD:2x
1178	HP:0000160	Narrow mouth	9	WDR45;STXBP1;SETD5;SATB2;PTPN11;MED13L;KMT2A;KAT6B;KAT6A;IQSEC2;HDAC8;EP300;EFTUD2;DDX3X;CHD7;CDK13;CACNA1A;AUTS2;ATRX;AHDC1;ADNP	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4;MENTAL RETARDATION, AUTOSOMAL DOMINANT 23;GLASS SYNDROME;NOONAN SYNDROME 1;INTELLECTUAL DISABILITY;WIEDEMANN-STEINER SYNDROME;SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 32;MENTAL RETARDATION X-LINKED TYPE 1;Cornelia de Lange Syndrome HDAC8 X-linked dominant;CORNELIA DE LANGE-LIKE SYNDROME HDAC8 XLR;RUBINSTEIN-TAYBI SYNDROME TYPE 2;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY;MENTAL RETARDATION, X-LINKED 102;CHARGE SYNDROME;Syndromic INTELLECTUAL DISABILITY with or without congenital heart disease;EPILEPTIC ENCEPHALOPATHY;SYNDROMIC INTELLECTUAL DISABILITY;MENTAL RETARDATION SYNDROMIC X-LINKED WITH HYPOTONIC FACIES SYNDROME TYPE 1;ALPHA-THALASSEMIA MENTAL RETARDATION SYNDROME X-LINKED NON-DELETION TYPE;XIA-GIBBS SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	LIT:65x;LIT:48x;LIT:46x;LIT:31x;LIT:30x;LIT:10x;LIT:9x;LIT:7x;LIT:1x;LIT:0x	DDD:57x;DDD:52x;DDD:48x;DDD:42x;DDD:37x;DDD:31x;DDD:30x;DDD:29x;DDD:28x;DDD:26x;DDD:25x;DDD:21x;DDD:19x;DDD:15x;DDD:14x;DDD:13x;DDD:9x;DDD:8x;DDD:7x;DDD:6x;DDD:5x;DDD:1x	LIT;DDD	LIT:65x;LIT:48x;LIT:46x;LIT:31x;LIT:30x;LIT:10x;LIT:9x;LIT:7x;LIT:1x;LIT:0x;DDD:57x;DDD:52x;DDD:48x;DDD:42x;DDD:37x;DDD:31x;DDD:30x;DDD:29x;DDD:28x;DDD:26x;DDD:25x;DDD:21x;DDD:19x;DDD:15x;DDD:14x;DDD:13x;DDD:9x;DDD:8x;DDD:7x;DDD:6x;DDD:5x;DDD:1x
1179	HP:0000204	Cleft upper lip	10	SRCAP;SMC1A;SATB2;KMT2D;EFTUD2;DDX3X;CHD7;AUTS2;ASXL3;ANKRD11	FLOATING-HARBOR SYNDROME;CORNELIA DE LANGE SYNDROME TYPE 2;GLASS SYNDROME;KMT2D multiple malformations disorder;KABUKI SYNDROME;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY;MENTAL RETARDATION, X-LINKED 102;INTELLECTUAL DISABILITY;CHARGE SYNDROME;SYNDROMIC INTELLECTUAL DISABILITY;BAINBRIDGE-ROPERS SYNDROME;KBG SYNDROME	LIT:56x;LIT:54x;LIT:48x;LIT:39x;LIT:38x;LIT:19x;LIT:15x;LIT:14x;LIT:13x;LIT:10x;LIT:7x;LIT:4x;LIT:2x		LIT	LIT:56x;LIT:54x;LIT:48x;LIT:39x;LIT:38x;LIT:19x;LIT:15x;LIT:14x;LIT:13x;LIT:10x;LIT:7x;LIT:4x;LIT:2x
1180	HP:0000161	Median cleft lip	11						
1181	HP:0000162	Glossoptosis	10	SATB2;MED13L;EFTUD2	GLASS SYNDROME;INTELLECTUAL DISABILITY;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY	LIT:48x;LIT:42x;LIT:19x		LIT	LIT:48x;LIT:42x;LIT:19x
1182	HP:0000164	Abnormality of the dentition	8	USP9X;WDR45;TBL1XR1;SRCAP;SATB2;KMT2D;KMT2A;KAT6B;KAT6A;EP300;DYNC1H1;ANKRD11	MENTAL RETARDATION, X-LINKED 99; MRX99;NEURODEGENERATION WITH BRAIN IRON ACCUMULATION;Pierpont syndrome;Intellectual disability with autism spectrum disorder;FLOATING-HARBOR SYNDROME;GLASS SYNDROME;KMT2D multiple malformations disorder;KABUKI SYNDROME;WIEDEMANN-STEINER SYNDROME;SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 32;RUBINSTEIN-TAYBI SYNDROME TYPE 2;SEVERE ID WITH NEURONAL MIGRATION DISORDER;SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, AD;KBG SYNDROME	LIT:65x;LIT:56x;LIT:48x;LIT:39x;LIT:38x;LIT:37x;LIT:31x;LIT:30x;LIT:29x;LIT:2x	DDD:73x;DDD:60x;DDD:59x;DDD:29x;DDD:21x;DDD:17x;DDD:16x	LIT;DDD	LIT:65x;LIT:56x;LIT:48x;LIT:39x;LIT:38x;LIT:37x;LIT:31x;LIT:30x;LIT:29x;LIT:2x;DDD:73x;DDD:60x;DDD:59x;DDD:29x;DDD:21x;DDD:17x;DDD:16x
1183	HP:0000704	Periodontitis	10						
1184	HP:0000166	Severe periodontitis	11						
1185	HP:0000168	Abnormality of the gingiva	9						
1186	HP:0000169	Gingival fibromatosis	10						
1187	HP:0010614	Fibroma	6						
1188	HP:0010295	Aplasia/Hypoplasia of the tongue	10						
1189	HP:0000171	Microglossia	11						
1190	HP:0100736	Abnormal soft palate morphology	9	ANKRD11	KBG SYNDROME		DDD:2x	DDD	DDD:2x
1191	HP:0000172	Abnormality of the uvula	10						
1192	HP:0000174	Abnormal palate morphology	8	SATB2;ANKRD11	GLASS SYNDROME;KBG SYNDROME	LIT:48x;LIT:2x		LIT	LIT:48x;LIT:2x
1193	HP:0000202	Oral cleft	8	WDR37;TBL1XR1;KMT2D;KMT2A;IQSEC2;EP300;EFTUD2;DDX3X;CHD7;CDK13	SYNDROMIC INTELLECTUAL DISABILITY;Pierpont syndrome;Intellectual disability with autism spectrum disorder;KABUKI SYNDROME;WIEDEMANN-STEINER SYNDROME;MENTAL RETARDATION X-LINKED TYPE 1;RUBINSTEIN-TAYBI SYNDROME TYPE 2;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY;MENTAL RETARDATION, X-LINKED 102;INTELLECTUAL DISABILITY;CHARGE SYNDROME;Syndromic INTELLECTUAL DISABILITY with or without congenital heart disease	LIT:68x;LIT:59x;LIT:38x;LIT:37x;LIT:28x;LIT:19x;LIT:10x	DDD:60x;DDD:59x;DDD:21x;DDD:15x;DDD:14x;DDD:13x;DDD:9x	LIT;DDD	LIT:68x;LIT:59x;LIT:38x;LIT:37x;LIT:28x;LIT:19x;LIT:10x;DDD:60x;DDD:59x;DDD:21x;DDD:15x;DDD:14x;DDD:13x;DDD:9x
1194	HP:0000175	Cleft palate	10	ZC4H2;SMC1A;SATB2;MED13L;KMT2D;KAT6B;HUWE1;HDAC8;EHMT1;EFTUD2;CHD7;AUTS2	ARTHROGRYPOSIS MULTIPLEX CONGENITA AND INTELLECTUAL DISABILITY;EPILEPTIC ENCEPHALOPATHY;CORNELIA DE LANGE SYNDROME TYPE 2;GLASS SYNDROME;INTELLECTUAL DISABILITY;KMT2D multiple malformations disorder;KABUKI SYNDROME;SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME;MENTAL RETARDATION SYNDROMIC X-LINKED TURNER TYPE;Cornelia de Lange Syndrome HDAC8 X-linked dominant;CORNELIA DE LANGE-LIKE SYNDROME HDAC8 XLR;Kleefstra syndrome;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY;CHARGE SYNDROME;SYNDROMIC INTELLECTUAL DISABILITY	LIT:55x;LIT:54x;LIT:48x;LIT:42x;LIT:19x;LIT:7x	DDD:74x;DDD:55x;DDD:54x;DDD:48x;DDD:42x;DDD:39x;DDD:38x;DDD:31x;DDD:30x;DDD:27x;DDD:26x;DDD:25x;DDD:20x;DDD:10x	LIT;DDD	LIT:55x;LIT:54x;LIT:48x;LIT:42x;LIT:19x;LIT:7x;DDD:74x;DDD:55x;DDD:54x;DDD:48x;DDD:42x;DDD:39x;DDD:38x;DDD:31x;DDD:30x;DDD:27x;DDD:26x;DDD:25x;DDD:20x;DDD:10x
1195	HP:0100737	Abnormal hard palate morphology	9						
1196	HP:0410031	Submucous cleft of soft and hard palate	11						
1197	HP:0000176	Submucous cleft hard palate	12	USP9X;SETD5;PPP2R5D;MED13L;KMT2A;ANKRD11	MENTAL RETARDATION, X-LINKED 99; MRX99;MENTAL RETARDATION, AUTOSOMAL DOMINANT 23;INTELLECTUAL DISABILITY;WIEDEMANN-STEINER SYNDROME;KBG SYNDROME	LIT:52x;LIT:44x;LIT:37x	DDD:73x;DDD:42x;DDD:2x	LIT;DDD	LIT:52x;LIT:44x;LIT:37x;DDD:73x;DDD:42x;DDD:2x
1198	HP:0000178	Abnormality of lower lip	9						
